"""option-Grow Tent Brand","['1215', '1214', '1212', '1211""']"
"""option-LED Grow Lights","['1925', '1347', '720', '835""']"
"""option-Ceramic Grow Lights","['131', '1789""']"
"""option-HPS Grow Lights","['1507', '1506', '1505', '1504""']"
"""option-Fluorescent Grow Lights","['1217', '1216', '834', '833""']"
"""option-Ventilation & Odor Control","['694', '695""']"
"""option-Soil Options","['882', '881', '880', '878""']"
"""option-Hydroponic Options","['335', '309', '1382', '409""']"
"""option-Nutrients & pH Control","['697', '1549', '1120', '517""']"
"""option-Accessories & Upgrades","['126', '729', '730', '284""']"
"""option-Harvest Supplies","['1393', '1421', '269', '1446""']"
"""UL Listed","['Yes""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'Yes""']"
"""Lead Time","['This product ships in 2 Business Days""', 'This product ships in 3-5 Business Days""', 'This product ships in 1-3 Business Days""', 'This product ships in 3-5 Business Days""', 'This product ships in 1-3 Business Days""', 'This product ships in 3-5 Business Days""', 'This product ships in 1-3 Business Days""', 'This product ships in 3-5 Business Days""', 'This product ships in 1-3 Business Days""', 'This product ships in 2 Business Days""', 'This product ships in 2 Business Days""', 'This product ships in 2 Business Days""', 'Due to social distancing requirements, this product ships in 3-4 weeks""', 'This product ships in 2 Business Days""', 'Ships in 1-2 Days""', 'This product ships in 2 Business Days""', 'This product ships in 2 Business Days""', 'This product ships in 2-3 Business Days""', 'Due to social distancing requirements, this product ships in 3-4 weeks""', 'This product ships in 2 Business Days""', 'This product ships in 2 Business Days""', 'Due to social distancing requirements, this product ships in 3-4 weeks""']"
"""Gallons Per Hour","['251""']"
"""Prop 65","['No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'No""', 'Yes""', 'No""', 'No""', 'No""', 'No""', 'No""']"
"""EACH - Weight(lb)","['0.4""']"
"""EACH - Height(in)","['2""']"
"""EACH - Length(in)","['20""']"
"""EACH - Width(in)","['10""']"
"""CASE - Quantity","['100""']"
"""CASE - Weight(lb)","['35""']"
"""CASE - Height(in)","['22""']"
"""CASE - Length(in)","['11""']"
"""CASE - Width(in)","['12""']"
"""PALLET - Quantity","['6300""']"
"""ENERGY STAR Certified","['No""', 'No""', 'No""', 'No""']"
"""Weight (lb.)","['112""', '24""', '35""', '16""', '1.15""', '4.5""', '0.4""', '104.7""', '11""', '0.1""', '0.64""', '0.44""', '16.4""', '17.6""', '3.08""', '5""', '0.11""']"
"""Height (in.)","['13.5""', '4.75""', '5.5""', '8.5""', '16""', '5""', '2.37""', '20.5""', '10""', '1.3""', '7.5""', '15.75""', '8.75""', '11.41""', '2.2""', '2.9""', '1.2""']"
UPC,"['832856000527', '832856000060', '832856000084', '832856000206', '29882509975', '793573065933', '38313037208', '638104020213', '24654550254', '638104024334', '638104027427', '638104026444', '638104100632', '10638104021927', '666420105826']"
"""Width (in.)","['9""', '1.25""', '2.5""', '5.3""', '14""', '5""', '2.5""', '19.7""', '5""', '2.7""', '3.9""', '2.17""', '15.25""', '13.15""', '3.7""', '4.05""', '2""']"
"""Dehumidifier Type","['Free Standing""', 'Free Standing""', 'Free Standing""', 'Free Standing""']"
Amps,"['8a', '3']"
Brand,"['Eva-Dry', 'Eva-Dry', 'Eva-Dry', 'Eva-Dry', 'ExHale', 'Corona', 'Hydrofarm', 'BioSafe', 'Phantom', 'Phantom', 'Core', 'Xtrasun', 'Hydrofarm']"
"""Exact Watts","['72w""', '22 Watts""', '26 Watts""', '22.5 Watts""', '315 Watts""', '1000 Watts""', '1000 Watts""', '315 Watts""', '430""']"
"""Length (in.)","['5.75""', '6.25""', '5.5""', '6.5""', '14""', '8""', '13.25""', '51""', '7""', '8.2""', '0.2""', '2.17""', '29""', '25.39""', '32.2""', '8.78""', '2.5""']"
"""Dehumidifier Features","['Tank Storage, Full Tank Light""', 'Continuous Operation, Tank Storage""', 'Continuous Operation, Tank Storage""', 'Tank Storage, Full Tank Light""']"
"""Voltage","['120 Volts""', '120 Volts""', '120 Volts""', '120 Volts""', '120/240 Volts""', '277-400 Volt""', '120/240 Volts""']"
SKU,"['ED-2500', 'ED-333', 'ED-500', 'ED-1100', 'GP6200', 'EX50001', 'CR37200', 'VGS600', 'BSZTHC1G', 'HI98129', 'SF5026', 'BUCDEPH3320', 'PHDESK12L', 'C2NO', 'JS10059', 'XTE3150', 'BAIGSD430L']"
"""Exact Moisture Removal Capacity (Pints/Day)","['1.3 Pints per Day""', '.25-.38 Pints per 2 to 4 weeks""', '.38 to .5 Pints per 4 to 8 Weeks""', '.5 Pints Per Day""']"
"""Power Cord(s) Included","['Plug Built Into Unit""', 'Plug Built Into Unit""', 'Standard 12 Inch 120 Volt Power Cord""', 'Yes""']"
"""Power Cord Length","['12 Inches""', '8 ft. - 120 Volt""', 'N/A""']"
"""Amps","['2.5 Amps""', '8.3 Amps @ 120 Volts, 4.16 Amps @ 240 Volts""', '3.9 Amps @ 277 Volts, 3.0 Amps @ 347 Volts, 2.7 Amps @ 400 Volts""']"
"""CO2 Coverage Area","['10\' x 10\' or Less""', '4\' x 4\' or Less""']"
"""Brand","['The Green Pad""', 'Hanna Instruments""', 'Safer Brand""', 'Jump Start""']"
"""Shipping Restrictions","['OR""', 'HI""']"
"""CO2 Enrichment","['Natural CO2 Production""', 'Natural CO2 Production""']"
"""Includes Casters","['Yes""']"
"""NSF Listed","['No""']"
Anti-Microbial,['No']
"""Application Type","['Liquid""', 'Traps""']"
"""Usage Area","['Indoor""', 'Indoor & Outdoor""']"
"""Ingredient Base","['Organic Based""', 'Organic Based""']"
"""OMRI Certified","['Yes""', 'No""']"
Concentration,"['Ready-to-Use', 'Ready-to-Use']"
"""Product Type","['Fungicide""', 'Preventative""']"
"""Warranty","['1 Year""', '3 Year Ballast - 1 Year Lamp/Reflector""', '1 Year""']"
"""Concentration Ratio","['Ready To Use""']"
"""Bug Type","['Gnats, Thrips, Whiteflies""']"
"""Estimated Life Hours","['20,000""']"
"""Bulb Type","['Double Ended Ceramic Metal Halide""', 'Double Ended High Pressure Sodium""', 'No Bulb Included""']"
"""Base Type","['K12 x 30S""']"
"""Bulb Orientation","['Horizontal""']"
"""Lighting Type","['CMH - Double Ended""', 'HPS/MH - Double Ended""', 'HPS/MH - Double Ended""']"
"""Color Temp (Kelvin)","['3200 K""']"
"""Bulb(s) Included?","['Yes""', 'No""']"
"""Grow Light Certifications","['CSA Listed""', 'CSA Listed""']"
"""Frequency","['60 Hz""', '50/60 Hz""', '50/60 Hz""']"
"""Coverage Area","['Veg: 6\' x 6\', Flower: 5\' x 5\'""', 'Flower: 4\' x 6\'""']"
"""Glass Included","['No""', 'No""']"
"""Est. Electricity Cost /mo","['$43.20""', '$43.20""']"
Template,"['template2', 'template2']"
"""option-addon1-Add Autopilot PX2 Lighting Controller","['621', '147', '1345""']"
"""option-addon2-Add PHOTOBIO Quantum PAR Meter","['164""']"
"""option-addon1-Add HPS/MH Bulbs","['683', '684""']"
"""Optimized For DE Bulbs","['No""']"
"""Dimmable Function","['No""']"
"""Ballast Type","['Digital Ballast""', 'Replacement Parts""']"
